sale_id,product_id,product_name,category,quantity,unit_price,line_total,store_id,store_name,date_time,cashier_id,customer_id,order_type,subtotal,discount,tax,total,payment_method,items_count,name,category_prod,price,store_name_store,city,state,country,open_since,name_cust,phone,email,loyalty_member,payment_id,method,amount,status,atendimento_id,store_id_at,staff_id,start_time,end_time,duration_seconds,satisfaction_rating,notes
S1001,P007,Cheeseburger,Burger,1,8.9,8.9,MCD001,McDonald's Av. Paulista,2025-11-18 12:15:00,EMP03,C001,Dine-in,23.8,0.0,1.67,25.47,Cash,2,Cheeseburger,Burger,8.9,McDonald's Av. Paulista,São Paulo,SP,BR,2005-06-15,João Silva,+55 11 99999-0001,joao.silva@example.com,True,PMT2001,Cash,25.47,Paid,A3001,MCD001,EMP03,2025-11-18 12:07:00,2025-11-18 12:18:00,660,5,Cliente pediu nota fiscal
S1001,P009,Salada Caesar,Salad,1,14.9,14.9,MCD001,McDonald's Av. Paulista,2025-11-18 12:15:00,EMP03,C001,Dine-in,23.8,0.0,1.67,25.47,Cash,2,Salada Caesar,Salad,14.9,McDonald's Av. Paulista,São Paulo,SP,BR,2005-06-15,João Silva,+55 11 99999-0001,joao.silva@example.com,True,PMT2001,Cash,25.47,Paid,A3001,MCD001,EMP03,2025-11-18 12:07:00,2025-11-18 12:18:00,660,5,Cliente pediu nota fiscal
S1002,P006,McFlurry Oreo,Dessert,1,10.5,10.5,MCD002,McDonald's Shopping Iguatemi,2025-11-20 20:00:00,EMP01,,Takeaway,53.4,0.0,3.74,57.14,Card - Debit,4,McFlurry Oreo,Dessert,10.5,McDonald's Shopping Iguatemi,São Paulo,SP,BR,2010-03-01,,,,False,PMT2002,Card - Debit,57.14,Paid,A3002,MCD002,EMP01,2025-11-20 19:52:00,2025-11-20 20:08:00,960,5,Cliente pediu nota fiscal
S1002,P002,McChicken,Burger,1,18.5,18.5,MCD002,McDonald's Shopping Iguatemi,2025-11-20 20:00:00,EMP01,,Takeaway,53.4,0.0,3.74,57.14,Card - Debit,4,McChicken,Burger,18.5,McDonald's Shopping Iguatemi,São Paulo,SP,BR,2010-03-01,,,,False,PMT2002,Card - Debit,57.14,Paid,A3002,MCD002,EMP01,2025-11-20 19:52:00,2025-11-20 20:08:00,960,5,Cliente pediu nota fiscal
S1002,P010,Água 500ml,Beverage,1,4.5,4.5,MCD002,McDonald's Shopping Iguatemi,2025-11-20 20:00:00,EMP01,,Takeaway,53.4,0.0,3.74,57.14,Card - Debit,4,Água 500ml,Beverage,4.5,McDonald's Shopping Iguatemi,São Paulo,SP,BR,2010-03-01,,,,False,PMT2002,Card - Debit,57.14,Paid,A3002,MCD002,EMP01,2025-11-20 19:52:00,2025-11-20 20:08:00,960,5,Cliente pediu nota fiscal
S1002,P008,Happy Meal,Kids,1,19.9,19.9,MCD002,McDonald's Shopping Iguatemi,2025-11-20 20:00:00,EMP01,,Takeaway,53.4,0.0,3.74,57.14,Card - Debit,4,Happy Meal,Kids,19.9,McDonald's Shopping Iguatemi,São Paulo,SP,BR,2010-03-01,,,,False,PMT2002,Card - Debit,57.14,Paid,A3002,MCD002,EMP01,2025-11-20 19:52:00,2025-11-20 20:08:00,960,5,Cliente pediu nota fiscal
S1003,P003,McNuggets 6pcs,Sides,1,12.0,12.0,MCD001,McDonald's Av. Paulista,2025-11-22 12:30:00,EMP04,C004,Dine-in,37.9,0.0,2.65,40.55,Voucher,3,McNuggets 6pcs,Sides,12.0,McDonald's Av. Paulista,São Paulo,SP,BR,2005-06-15,Ana Oliveira,+55 11 96666-0004,ana.oliveira@example.com,False,PMT2003,Voucher,40.55,Paid,A3003,MCD001,EMP04,2025-11-22 12:27:00,2025-11-22 12:39:00,720,5,Entregue rápido
S1003,P008,Happy Meal,Kids,1,19.9,19.9,MCD001,McDonald's Av. Paulista,2025-11-22 12:30:00,EMP04,C004,Dine-in,37.9,0.0,2.65,40.55,Voucher,3,Happy Meal,Kids,19.9,McDonald's Av. Paulista,São Paulo,SP,BR,2005-06-15,Ana Oliveira,+55 11 96666-0004,ana.oliveira@example.com,False,PMT2003,Voucher,40.55,Paid,A3003,MCD001,EMP04,2025-11-22 12:27:00,2025-11-22 12:39:00,720,5,Entregue rápido
S1003,P005,Coca-Cola 350ml,Beverage,1,6.0,6.0,MCD001,McDonald's Av. Paulista,2025-11-22 12:30:00,EMP04,C004,Dine-in,37.9,0.0,2.65,40.55,Voucher,3,Coca-Cola 350ml,Beverage,6.0,McDonald's Av. Paulista,São Paulo,SP,BR,2005-06-15,Ana Oliveira,+55 11 96666-0004,ana.oliveira@example.com,False,PMT2003,Voucher,40.55,Paid,A3003,MCD001,EMP04,2025-11-22 12:27:00,2025-11-22 12:39:00,720,5,Entregue rápido
S1004,P004,Batata Média,Sides,1,9.5,9.5,MCD003,McDonald's Campinas Centro,2025-11-26 17:00:00,EMP02,C001,Delivery,9.5,0.0,0.67,10.17,Cash,1,Batata Média,Sides,9.5,McDonald's Campinas Centro,Campinas,SP,BR,2012-09-20,João Silva,+55 11 99999-0001,joao.silva@example.com,True,PMT2004,Cash,10.17,Paid,A3004,MCD003,EMP02,2025-11-26 16:55:00,2025-11-26 17:04:00,540,5,Pequeno atraso
S1005,P002,McChicken,Burger,1,18.5,18.5,MCD003,McDonald's Campinas Centro,2025-11-22 13:40:00,EMP03,,Dine-in,35.0,0.0,2.45,37.45,Mobile Wallet,3,McChicken,Burger,18.5,McDonald's Campinas Centro,Campinas,SP,BR,2012-09-20,,,,False,PMT2005,Mobile Wallet,37.45,Paid,A3005,MCD003,EMP03,2025-11-22 13:36:00,2025-11-22 13:51:00,900,4,Cliente pediu nota fiscal
S1005,P006,McFlurry Oreo,Dessert,1,10.5,10.5,MCD003,McDonald's Campinas Centro,2025-11-22 13:40:00,EMP03,,Dine-in,35.0,0.0,2.45,37.45,Mobile Wallet,3,McFlurry Oreo,Dessert,10.5,McDonald's Campinas Centro,Campinas,SP,BR,2012-09-20,,,,False,PMT2005,Mobile Wallet,37.45,Paid,A3005,MCD003,EMP03,2025-11-22 13:36:00,2025-11-22 13:51:00,900,4,Cliente pediu nota fiscal
S1005,P005,Coca-Cola 350ml,Beverage,1,6.0,6.0,MCD003,McDonald's Campinas Centro,2025-11-22 13:40:00,EMP03,,Dine-in,35.0,0.0,2.45,37.45,Mobile Wallet,3,Coca-Cola 350ml,Beverage,6.0,McDonald's Campinas Centro,Campinas,SP,BR,2012-09-20,,,,False,PMT2005,Mobile Wallet,37.45,Paid,A3005,MCD003,EMP03,2025-11-22 13:36:00,2025-11-22 13:51:00,900,4,Cliente pediu nota fiscal
S1006,P001,Big Mac,Burger,1,22.9,22.9,MCD002,McDonald's Shopping Iguatemi,2025-11-24 17:40:00,EMP06,C004,Takeaway,37.8,0.0,2.65,40.45,Cash,2,Big Mac,Burger,22.9,McDonald's Shopping Iguatemi,São Paulo,SP,BR,2010-03-01,Ana Oliveira,+55 11 96666-0004,ana.oliveira@example.com,False,PMT2006,Cash,40.45,Paid,A3006,MCD002,EMP06,2025-11-24 17:35:00,2025-11-24 17:43:00,480,3,Pequeno atraso
S1006,P009,Salada Caesar,Salad,1,14.9,14.9,MCD002,McDonald's Shopping Iguatemi,2025-11-24 17:40:00,EMP06,C004,Takeaway,37.8,0.0,2.65,40.45,Cash,2,Salada Caesar,Salad,14.9,McDonald's Shopping Iguatemi,São Paulo,SP,BR,2010-03-01,Ana Oliveira,+55 11 96666-0004,ana.oliveira@example.com,False,PMT2006,Cash,40.45,Paid,A3006,MCD002,EMP06,2025-11-24 17:35:00,2025-11-24 17:43:00,480,3,Pequeno atraso
S1007,P008,Happy Meal,Kids,1,19.9,19.9,MCD001,McDonald's Av. Paulista,2025-11-21 12:35:00,EMP05,C004,Delivery,51.7,0.0,3.62,55.32,Mobile Wallet,3,Happy Meal,Kids,19.9,McDonald's Av. Paulista,São Paulo,SP,BR,2005-06-15,Ana Oliveira,+55 11 96666-0004,ana.oliveira@example.com,False,PMT2007,Mobile Wallet,55.32,Paid,A3007,MCD001,EMP05,2025-11-21 12:26:00,2025-11-21 12:40:00,840,5,Cliente pediu nota fiscal
S1007,P007,Cheeseburger,Burger,1,8.9,8.9,MCD001,McDonald's Av. Paulista,2025-11-21 12:35:00,EMP05,C004,Delivery,51.7,0.0,3.62,55.32,Mobile Wallet,3,Cheeseburger,Burger,8.9,McDonald's Av. Paulista,São Paulo,SP,BR,2005-06-15,Ana Oliveira,+55 11 96666-0004,ana.oliveira@example.com,False,PMT2007,Mobile Wallet,55.32,Paid,A3007,MCD001,EMP05,2025-11-21 12:26:00,2025-11-21 12:40:00,840,5,Cliente pediu nota fiscal
S1007,P001,Big Mac,Burger,1,22.9,22.9,MCD001,McDonald's Av. Paulista,2025-11-21 12:35:00,EMP05,C004,Delivery,51.7,0.0,3.62,55.32,Mobile Wallet,3,Big Mac,Burger,22.9,McDonald's Av. Paulista,São Paulo,SP,BR,2005-06-15,Ana Oliveira,+55 11 96666-0004,ana.oliveira@example.com,False,PMT2007,Mobile Wallet,55.32,Paid,A3007,MCD001,EMP05,2025-11-21 12:26:00,2025-11-21 12:40:00,840,5,Cliente pediu nota fiscal
S1008,P007,Cheeseburger,Burger,1,8.9,8.9,MCD003,McDonald's Campinas Centro,2025-11-25 19:40:00,EMP06,C004,Takeaway,47.3,0.0,3.31,50.61,Cash,4,Cheeseburger,Burger,8.9,McDonald's Campinas Centro,Campinas,SP,BR,2012-09-20,Ana Oliveira,+55 11 96666-0004,ana.oliveira@example.com,False,PMT2008,Cash,50.61,Paid,A3008,MCD003,EMP06,2025-11-25 19:37:00,2025-11-25 19:45:00,480,4,Pequeno atraso
S1008,P010,Água 500ml,Beverage,2,4.5,9.0,MCD003,McDonald's Campinas Centro,2025-11-25 19:40:00,EMP06,C004,Takeaway,47.3,0.0,3.31,50.61,Cash,4,Água 500ml,Beverage,4.5,McDonald's Campinas Centro,Campinas,SP,BR,2012-09-20,Ana Oliveira,+55 11 96666-0004,ana.oliveira@example.com,False,PMT2008,Cash,50.61,Paid,A3008,MCD003,EMP06,2025-11-25 19:37:00,2025-11-25 19:45:00,480,4,Pequeno atraso
